date,obs_fraction
2022-06-07,0.220703
2022-06-08,0.228516
2022-06-09,0.235352
2022-06-10,0.240479
2022-06-13,0.231934
2022-06-14,0.227051
2022-06-15,0.230225
2022-06-16,0.242676
2022-06-17,0.243408
2022-06-21,0.235840
2022-06-22,0.233398
2022-06-23,0.235596
2022-06-24,0.239990
2022-06-27,0.237061
2022-06-28,0.230469
2022-06-29,0.229492
2022-06-30,0.234863
2022-07-01,0.249268
2022-07-05,0.234863
2022-07-06,0.235840
2022-07-07,0.239502
2022-07-08,0.243164
2022-07-11,0.237793
2022-07-12,0.232422
2022-07-13,0.234131
2022-07-14,0.233887
2022-07-15,0.230713
2022-07-18,0.223389
2022-07-19,0.215820
2022-07-20,0.217529
2022-07-21,0.215576
2022-07-22,0.224121
2022-07-25,0.222168
2022-07-26,0.214111
2022-07-27,0.216309
2022-07-28,0.209473
2022-07-29,0.219238
2022-08-01,0.219482
2022-08-02,0.214355
2022-08-03,0.213623
2022-08-04,0.216064
2022-08-05,0.223389
2022-08-08,0.219238
2022-08-09,0.210938
2022-08-10,0.212158
2022-08-11,0.208496
2022-08-12,0.209473
2022-08-15,0.199951
2022-08-16,0.199219
2022-08-17,0.200439
2022-08-18,0.190430
2022-08-19,0.195312
2022-08-22,0.199707
2022-08-23,0.188721
2022-08-24,0.191650
2022-08-25,0.194824
2022-08-26,0.201172
2022-08-29,0.198975
2022-08-30,0.189209
2022-08-31,0.189941
2022-09-01,0.193115
2022-09-02,0.203857
2022-09-06,0.188232
2022-09-07,0.188232
2022-09-08,0.192871
2022-09-09,0.201416
2022-09-12,0.178711
2022-09-13,0.187012
2022-09-14,0.187012
2022-09-15,0.198975
2022-09-16,0.201172
2022-09-19,0.198975
2022-09-20,0.192627
2022-09-21,0.192871
2022-09-22,0.193359
2022-09-23,0.202393
2022-09-26,0.197021
2022-09-27,0.187500
2022-09-28,0.189453
2022-09-29,0.194580
2022-09-30,0.198730
2022-10-03,0.199951
2022-10-04,0.196289
2022-10-05,0.214600
2022-10-06,0.220703
2022-10-07,0.228027
2022-10-10,0.218506
2022-10-11,0.213379
2022-10-12,0.212402
2022-10-13,0.218994
2022-10-14,0.227051
2022-10-17,0.218994
2022-10-18,0.215088
2022-10-19,0.216553
2022-10-20,0.212891
2022-10-21,0.214600
2022-10-24,0.211670
2022-10-25,0.205322
2022-10-26,0.203857
2022-10-27,0.208984
2022-10-28,0.203125
2022-10-31,0.209229
2022-11-01,0.200684
2022-11-02,0.202637
2022-11-03,0.218750
2022-11-04,0.221436
2022-11-07,0.222168
2022-11-08,0.213867
2022-11-09,0.211670
2022-11-10,0.211182
2022-11-11,0.215820
2022-11-14,0.197998
2022-11-15,0.191895
2022-11-16,0.199951
2022-11-17,0.199463
2022-11-18,0.198730
2022-11-21,0.188721
2022-11-22,0.181641
2022-11-23,0.191406
2022-11-25,0.187012
2022-11-28,0.186035
2022-11-29,0.187988
2022-11-30,0.187012
2022-12-01,0.184326
2022-12-02,0.185547
2022-12-05,0.187988
2022-12-06,0.188965
2022-12-07,0.186279
2022-12-08,0.181152
2022-12-09,0.180420
2022-12-12,0.179932
2022-12-13,0.173340
2022-12-14,0.177979
2022-12-15,0.187012
2022-12-16,0.189697
2022-12-19,0.176270
2022-12-20,0.189453
2022-12-21,0.187256
2022-12-22,0.183350
2022-12-23,0.189697
2022-12-27,0.181885
2022-12-28,0.179932
2022-12-29,0.177979
2022-12-30,0.176270
2023-01-03,0.188721
2023-01-04,0.150146
2023-01-05,0.185303
2023-01-06,0.207764
2023-01-09,0.201660
2023-01-10,0.168213
2023-01-11,0.203613
2023-01-12,0.217285
2023-01-13,0.209717
2023-01-17,0.170166
2023-01-18,0.195312
2023-01-19,0.223145
2023-01-20,0.223145
2023-01-23,0.217529
2023-01-24,0.180420
2023-01-25,0.218994
2023-01-26,0.218018
2023-01-27,0.205322
2023-01-30,0.220703
2023-01-31,0.219727
2023-02-01,0.172607
2023-02-02,0.148438
2023-02-03,0.224854
2023-02-06,0.194092
2023-02-07,0.221680
2023-02-08,0.222168
2023-02-09,0.160645
2023-02-10,0.186523
2023-02-13,0.202148
2023-02-14,0.204834
2023-02-15,0.199463
2023-02-16,0.194824
2023-02-17,0.185059
2023-02-21,0.161133
2023-02-22,0.205811
2023-02-23,0.154053
2023-02-24,0.207520
2023-02-27,0.206543
2023-02-28,0.209229
2023-03-01,0.158691
2023-03-02,0.217773
2023-03-03,0.166748
2023-03-06,0.214844
2023-03-07,0.221191
2023-03-08,0.223877
2023-03-09,0.225098
2023-03-10,0.224121
2023-03-13,0.217773
2023-03-14,0.218262
2023-03-15,0.218262
2023-03-16,0.227783
2023-03-17,0.227783
2023-03-20,0.226318
2023-03-21,0.173096
2023-03-22,0.216309
2023-03-23,0.225098
2023-03-24,0.165527
2023-03-27,0.163574
2023-03-28,0.203857
2023-03-29,0.219727
2023-03-30,0.161133
2023-03-31,0.213623
2023-04-03,0.221436
2023-04-04,0.219971
2023-04-05,0.162598
2023-04-06,0.225098
2023-04-10,0.208984
2023-04-11,0.209717
2023-04-12,0.223389
2023-04-13,0.223877
2023-04-14,0.164062
2023-04-17,0.215820
2023-04-18,0.217041
2023-04-19,0.223877
2023-04-20,0.162354
2023-04-21,0.218018
2023-04-24,0.213379
2023-04-25,0.209717
2023-04-26,0.214355
2023-04-27,0.206055
2023-04-28,0.200195
2023-05-01,0.203613
2023-05-02,0.210693
2023-05-03,0.207031
2023-05-04,0.192871
2023-05-05,0.202393
2023-05-08,0.211670
2023-05-09,0.212646
2023-05-10,0.208984
2023-05-11,0.207031
2023-05-12,0.201660
2023-05-15,0.193604
2023-05-16,0.144287
2023-05-17,0.194092
2023-05-18,0.170166
2023-05-19,0.162842
2023-05-22,0.187500
2023-05-23,0.188965
2023-05-24,0.137939
2023-05-25,0.185303
2023-05-26,0.185791
2023-05-30,0.134277
2023-05-31,0.187988
2023-06-01,0.139160
